Year,Title,Summary,Case type,Outcome type,Market sector,Open date,Closed date,Archive URL
2009,Sutton and East Surrey Water plc price determination ,Closed Competition Commission (CC) regulatory reference investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Utilities,05.03.09,17.08.09,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/sutton-and-east-surrey-water-plc
2006,SvitzerWijsmuller A/S / Adsteam Marine Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Transport,31.08.06,09.02.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/svitzerwijsmuller-as-adsteam-marine-limited
2004,Taminco NV / Air Products and Chemicals Inc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Chemicals ,16.07.04,29.11.04,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/taminco-nv-air-products-chemicals-teesside-ltd
2007,"Tesco plc / Co-operative Group (CWS) Ltd store at Uxbridge Road, Slough merger inquiry (CC)",Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Retail and wholesale,19.04.07,28.11.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/tesco-co-op-store-acquisition-in-slough
2006,Thermo Electron Manufacturing Ltd / GV Instruments Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Electronics industry,15.12.06,30.05.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/thermo-electron-manufacturing-limited-gv-instruments-limited
2011,Thomas Cook Group plc / Co-operative Group Ltd / Midlands Co-operative Society Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Recreation and leisure,02.03.11,16.08.11,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/thomas-cook-co-op-midlands
2009,"Ticketmaster Entertainment / Live Nation, Inc. merger inquiry (CC)",Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Recreation and leisure,10.06.09,22.12.09,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/ticketmaster-livenation
2003,Unum Ltd / Swiss Life (UK) plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 1 referral,Financial services,31.10.03,25.11.03,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/unum-ltd-swiss-life-uk-plc
2006,Utilita Electricity Ltd v GEMA energy code modification appeal ,Closed Competition Commission (CC) regulatory appeal investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Utilities,13.04.06,,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/utilita-electricity-ltd-gema-energy-code-mod
2012,VPS Holdings Ltd / SitexOrbis Holdings Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Distribution and service industries,05.03.12,17.08.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/vps-holdings-limited-of-sitexorbis-holdings-limited
2005,Vue Entertainment Holdings (UK) Ltd / A3 Cinema Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 prohibition,Recreation and leisure,23.09.05,24.02.06,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/vue-entertainment-holdings-uk-limited-a3-cinema-limited
2011,Wholesale broadband access charge control: telecommunications price control appeal ,Closed Competition Commission (CC) regulatory appeal investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Telecommunications ,02.11.11,15.06.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/bt-ofcom-telecoms-appeal-wholesale-broadband
2010,Wholesale line rental: telecommunications price control appeal ,Closed Competition Commission (CC) regulatory appeal investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Telecommunications ,18.02.10,31.08.10,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/carphone-warehouse-ofcom-wll
2011,Wholesale mobile voice call termination: telecommunications price control appeal ,Closed Competition Commission (CC) regulatory appeal investigation.,Regulatory references and appeals,Regulatory appeals and references - final determination,Telecommunications ,30.06.11,09.02.12,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/bt-everything-huthchison-vodafone-telecoms-appeal-mobile-call-term
2006,Wienerberger Finance Service BV / Baggeridge Brick plc merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Building and Construction,11.12.06,10.05.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/wienerberger-finance-service-bv-baggeridge-brick-plc
2007,Woolworths Group PLC / Bertram Group Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Retail and wholesale,03.04.08,04.09.07,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/woolworths-group-plc-bertram-group-ltd-inquiry
2012,Yellow Pages undertakings given by Yell Group plc (now hibu plc) ,Closed Competition Commission (CC) review of merger undertakings.,Reviews of undertakings and orders,,Communications ,26.10.12,15.03.13,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/review-of-yellow-pages-undertakings
2010,Zipcar Inc. / Streetcar Ltd merger inquiry (CC),Closed Competition Commission (CC) merger inquiry.,Mergers,Mergers - phase 2 clearance,Transport,10.08.10,22.12.10,http://webarchive.nationalarchives.gov.uk/20140402141250/http://www.competition-commission.org.uk/our-work/directory-of-all-inquiries/zipcar-streetcar
