Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL,,
Macquarie Industrial Investments Netherlands B.V. / Dyno Nobel Holding ASA ,OFT closed case: Completed acquisition by Macquarie Industrial Investments Netherlands B.V. of Dyno Nobel Holding ASA ,Mergers,Engineering,Mergers - phase 1 found not to qualify,10-Jan-06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2006/macquarie,,
Royal London Mutual Insurance Society Ltd / Resolution plc ,OFT closed case: Anticipated acquisition by Royal London Mutual Insurance Society Limited of certain businesses and assets of Resolution plc,Mergers,Financial services,Mergers - phase 1 clearance,28-Dec-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/RoyalLondon,,
Pearl group / Resolution plc ,OFT closed case: Anticipated acquisition by Pearl Group of Resolution plc,Mergers,Financial services,Mergers - phase 1 clearance,28-Dec-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Pearlgroup,,
National Express Group plc / Inter City East Coast rail franchise ,OFT closed case: Acquisition by National Express Group plc of the Inter City East Coast rail franchise,Mergers,Transport,Mergers - phase 1 clearance,20-Dec-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/national,,
Arriva plc / Arriva Trains Cross Country Ltd / Cross Country passenger rail franchise ,OFT closed case: Completed acquisition by Arriva plc through Arriva Trains Cross Country Limited of the Cross Country passenger rail franchise ,Mergers,Transport,Mergers - phase 1 clearance,20-Dec-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Arriva2,,
First Milk Ltd / Milk Link Ltd ,OFT closed case: Anticipated merger between First Milk Limited and Milk Link Limited ,Mergers,Food manufacturing,Mergers - phase 1 clearance,12-Dec-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/First-Milk,,
Tesco Stores Ltd / Kwik Save stores ,"OFT closed case: Anticipated acquisition by Tesco Stores Limited of five former Kwik Save stores (Handforth, Coventry, Liverpool, Barrow-in-Furness and Nelson)",Mergers,Retail and wholesale,Mergers - phase 1 clearance,11-Dec-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/tesco-stores2,,
Neopost SA / PFE International Ltd ,OFT closed case: Anticipated acquisition by Neopost SA of PFE International Ltd ,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,7-Dec-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Neopost,,
Tulip Ltd / George Adams & Sons Ltd / George Adams & Sons (Holdings) Ltd ,OFT closed case: Anticipated acquisition by Tulip Limited of George Adams & Sons Limited and George Adams & Sons (Holdings) Limited ,Mergers,Food manufacturing,Mergers - phase 1 clearance,6-Dec-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Tulip,,
Thermo Fisher Scientific Inc / Werner Reifferscheidt Verwaltungs GmbH ,OFT closed case: Anticipated acquisition by Thermo Fisher Scientific Inc of Werner Reifferscheidt Verwaltungs GmbH ,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,4-Dec-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Thermo,,
Tesco plc / Somerfield plc ,"OFT closed case: Completed acquisition by Tesco plc of five stores (Thurso, Bedlington, Little Lever, Ramsbottom and North Hykeham) from Somerfield plc ",Mergers,Retail and wholesale,Mergers - phase 1 clearance,4-Dec-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/tesco3,,
Govia Ltd / West Midlands passenger rail franchise ,OFT closed case: Completed acquisition by Govia Limited of the West Midlands passenger rail franchise ,Mergers,Transport,Mergers - phase 1 clearance,29-Nov-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Govia,,
Glatfelter Lydney Ltd / Metallised Products Ltd ,OFT closed case: Anticipated acquisition by Glatfelter Lydney Ltd of Metallised Products Limited ,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,20-Nov-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Glatfelter,,
