Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL
Anschutz / Hammersmith Apollo ,,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,8/1/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Anschutz
Lightcatch Ltd / Tote (Successor Company) Ltd ,,Mergers,Financial services,Mergers - phase 1 clearance with undertakings in lieu,8/6/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/lightcatch
DFDs /Louis Dreyfus Armateurs SAS ,,Mergers,Transport,Mergers - phase 1 clearance,8/7/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/dfds
MoneySupermarket  / MoneySavingExpert,,Mergers,Financial services,Mergers - phase 1 found not to qualify  ,8/8/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/moneysupermarket
Cobham / Thrane & Thrane A/S,,Mergers,Communications,Mergers - phase 1 clearance,8/9/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/cobham
Harvest Housing Group / Arena Housing Group,,Mergers,Building and construction,Mergers - phase 1 found not to qualify  ,8/13/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/HarvestHousing
Facebook / Instagram Inc ,,Mergers,Communications,Mergers - phase 1 clearance,8/14/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/facebook
Saint-Gobain / Celotex Group Ltd ,,Mergers,Building and construction,Mergers - phase 1 clearance,8/14/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/saint-gobain
Rank Group / Gala Casinos Ltd,,Mergers,Recreation and Leisure,Mergers - phase 1 referral,8/20/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/rank
Odeon / AMC,,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,8/24/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Odeon_AMC
Heineken / Stassen SA,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,8/28/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/heineken
Bottomline / Albany Software Ltd ,,Mergers,Financial services,Mergers - phase 1 clearance,9/3/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Bottomline
