Title,Summary,Case type,Outcome,New CMA market sector,Closed date,Archive URL,,,,,
Pearson plc / Fronter A.S.,,Mergers,Mergers - phase 1 found not to qualify,Communications,1/26/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/pearson-fronter,,,,,
PHS Teacrate / GB Nationwide,,Mergers,Mergers - phase 1 clearance,Distribution and Service Industries,1/8/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/PHSTeacrate,,,,,
Prince Minerals Limited / Castle Colours Limited,,Mergers,Mergers - phase 1 clearance,Chemicals,5/6/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/prince-minerals,,,,,
RMIG UK / Ash & Lacy Perforators,,Mergers,Mergers - phase 1 referral,Building and construction,8/26/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/RMIG,,,,,
SeniorLink Eldercare / Aid Call ,,Mergers,Mergers - phase 1 clearance,Healthcare and medical equipment,7/21/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/SeniorLink,,,,,
Skipton Building Society / Scarborough Building Society,,Mergers,Mergers - phase 1 clearance,Financial Services,3/2/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Skipton,,,,,
Smiths News / Surridge Dawson,,Mergers,Mergers - phase 1 clearance,Paper printing and packaging,8/21/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/SmithsNews,,,,,
Sports Direct International plc / JJB Sports plc,,Mergers,Mergers - phase 1 found not to qualify,Retail and wholesale,1/28/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/sports-direct,,,,,
Sports Direct International plc / JJB Sports plc,,Mergers,Mergers - phase 1 referral,Retail and wholesale,8/7/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/sports-direct-inter,,,,,
Stagecoach / Islwyn Borough Transport,,Mergers,Mergers - phase 1 referral,Transport,12/23/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Stagecoach,,,,,
Stagecoach Bus Holdings / Eastbourne Buses Ltd,,Mergers,Mergers - phase 1 referral,Transport,5/13/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Stagecoach1,,,,,
Stagecoach Bus Holdings Ltd / Cavendish Motor Services Ltd,,Mergers,Mergers - phase 1 referral,Transport,5/13/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Stagecoach2,,,,,
Stagecoach Group plc / Preston Bus,,Mergers,Mergers - phase 1 referral,Transport,5/28/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/stagecoach,,,,,
Tesco / Spar store in Wroughton,,Mergers,Mergers - phase 1 clearance,Retail and wholesale,7/14/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Tesco,,,,,
Tesco / three Somerfield stores from the Co-operative Group,,Mergers,Mergers - phase 1 clearance,Retail and wholesale,8/3/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Tesco3,,,,,
Tesco plc / FreshXpress store,,Mergers,Mergers - phase 1 found not to qualify,Retail and wholesale,4/21/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/tesco2,,,,,
Tesco plc / Somerfield / Co-operative Group Limited,,Mergers,Mergers - phase 1 clearance,Retail and wholesale,3/18/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/tesco,,,,,
Thomson Reuters / Abacus Enterprise suite of products and related business operations,,Mergers,Mergers - phase 1 clearance,Financial Services,12/17/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Thomson,,,,,
"Ticketmaster Entertainment, Inc. / Live Nation, Inc.",,Mergers,Mergers - phase 1 referral,Recreation and Leisure,6/11/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Ticketmaster,,,,,
WM Morrison Supermarket plc / Co-operative Group Limited (30 stores),,Mergers,Mergers - phase 1 clearance,Retail and wholesale,7/10/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/morrison,,,,,
Yorkshire Building Society / Chelsea Building Society ,,Mergers,Mergers - phase 1 clearance,Financial Services,12/24/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2009/Yorkshire,,,,,
