Title,Summary,Outcome type,Market sector,Closed date,Archive URL,,
HJ Heinz Company / HP Foods Group ,OFT closed case: Anticipated acquisition by HJ Heinz of HP Foods Group ,Mergers - phase 1 reference,Food manufacturing,25-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/hjheinz,,
Cable and Wireless plc / Chelys Ltd ,OFT closed case: Anticipated acquisition by Cable and Wireless plc of Chelys Ltd (Owner of the Energis Group) ,Mergers - Phase 1 Clearance ,Communications ,24-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/cable-wireless,,
Tesco Store Ltd / Wm Morrison Supermarkets plc ,OFT closed case: Anticipated acquisition by Tesco Store Ltd of up to 30 former BP/Safeway forecourts and stores from Wm Morrison Supermarkets plc ,Mergers - Phase 1 Clearance ,Retail and wholesale ,23-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/tesco3,,
Lex Vehicle Leasing Ltd / HSBC Bank plc ,OFT closed case: Anticipated acquisition by Lex Vehicle Leasing Ltd of the fleet car hire business of HSBC Bank plc ,Mergers - Phase 1 Clearance ,Transport,20-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/lex,,
Macquarie European Infrastructure Fund / Wightlink Shipping Ltd ,OFT closed case: Macquarie European Infrastructure Fund / Wightlink Shipping Ltd ,Mergers - phase 1 found not to qualify,Transport,20-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/macquarie2,,
Mikohn Gaming Corporation / End X Group Ltd ,OFT closed case: Anticipated acquisition by Mikohn Gaming Corporation of End X Group Ltd ,Mergers - phase 1 found not to qualify,Electronics Industry ,19-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/mikohn,,
Robert Wiseman Dairies plc / Scottish Milk Dairies Ltd ,OFT closed case: Anticipated acquisition by Robert Wiseman Dairies plc of the fresh milk business of Scottish Milk Dairies Ltd ,Mergers - phase 1 reference,Food manufacturing,18-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/robert-wiseman,,
Bank of America / MBNA ,OFT closed case: Anticipated acquisition of MBNA by Bank of America ,Mergers - Phase 1 Clearance ,Financial services ,13-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/bankamerica,,
Chemring Group plc / Comet GmbH ,OFT closed case: Anticipated acquisition by Chemring Group plc of Comet GmbH ,Mergers - Phase 1 Clearance ,Chemicals ,12-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/chemring,,
Lafarge Cement UK / Port Land Cement Company Ltd ,OFT closed case: Anticipated acquisition by Lafarge Cement UK of Port Land Cement Company Ltd ,Mergers - Phase 1 Clearance ,Building and construction ,12-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/lafarge2,,
Synergy Healthcare plc / Shiloh plc ,OFT closed case: Completed acquisition by Synergy Healthcare plc of Shiloh plc ,Mergers - Phase 1 Clearance ,Chemicals ,12-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/synergy,,
Macquarie Airports Ltd / Ferrovial Aeropuertos SA / Exeter and Devon Airport Ltd ,OFT closed case: Anticipated acquisition of Exeter and Devon Airport Ltd by Macquarie Airports Ltd and Ferrovial Aeropuertos SA ,Mergers - phase 1 reference,Transport,10-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/macquarie,,
Yates Wine Lodges Ltd / SFI Group Ltd ,OFT closed case: Completed acquisition by Yates Wine Lodges Ltd of assets of the SFI Group Ltd ,Mergers - Phase 1 Clearance ,Recreation and Leisure,10-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/yates,,
Superior Essex Inc / Nexans S.A. ,OFT closed case: Anticipated joint venture between Superior Essex Inc and Nexans S.A. ,Mergers - Phase 1 Clearance ,Electronics Industry ,6-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/superior,,
J Sainsbury plc / Wm Morrison Supermarkets plc ,OFT closed case: Proposed acquisition of former Safeway stores by J Sainsbury plc from Wm Morrison Supermarkets plc ,Mergers - Phase 1 Clearance ,Retail and wholesale ,2-Oct-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/sainsbury2,,
FirstGroup plc / Greater Western Passenger Rail Franchise ,OFT closed case: Anticipated acquisition by FirstGroup plc of the Greater Western Passenger Rail Franchise ,Mergers - phase 1 reference,Transport,29-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/firstgroup,,
