Title ,Summary,Outcome type,Market sector,Open date,Closed date,Archive URL
Companies House: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Communications,01/03/01,24/10/02,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/companies-house
Consignia and Postal Preference Service Ltd: use of Royal Mail trade marks ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Communications,,15/06/01,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/consignia
Construction industry in England: bid-rigging ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Building and construction,18/11/04,22/09/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/bid_rigging_construction
Construction Recruitment Forum: collective boycott and price-fixing,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Building and construction,,13/11/09,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/Construction-recruitment-forum
Dairy products: investigation into retail pricing practices ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Retail and wholesale,01/09/03,10/08/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98-current/dairy-products/
DSG Retail Ltd / Compaq Computer Ltd / Packard Bell NEC Ltd: complaint about exclusive agreements,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Retail and wholesale,27/08/99,18/04/01,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/dsg
du Pont: refusal to supply of unprocessed holographic photopolymer film,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Chemicals,,09/09/03,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/du-pont
e-books: investigation into anti-competitive arrangements between some publishers and retailers,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Communications,01/01/11,01/12/11,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/e-books
Elite Greenhouses Ltd: alleged price-fixing agreements,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,"Agriculture, environment and natural resources ",,14/02/03,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/elite
Felt and single ply flat-roofing contracts in the North East of England: anti-competitive practices ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Building and construction,31/07/02,08/04/05,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/ne-roofing
Felt and single ply roofing contracts in Western-Central Scotland: anti-competitive practices,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Building and construction,,12/07/07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/scotland-roofing
Film Distributors' Association Ltd: competition in the exhibition of films,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Distribution and Services Industries,15/08/00,06/02/02,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/fda
First Edinburgh bus fares: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Transport,01/03/01,09/06/04,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/lothian
Flat roof and car park surfacing contracts in England and Scotland: anti-competitive practices,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Building and construction,28/07/03,23/02/06,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/flat-roof
Flat-roofing contracts in the West Midlands: anti-competitive practices,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Building and construction,11/06/02,17/03/04,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/wm-roofing
Flybe Ltd: alleged abuse of a dominant position ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Transport,01/03/09,05/11/10,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/flybe
Replica football kit price-fixing  ,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Retail and wholesale,06/08/99,01/08/03,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/football-kit
General Insurance Standards Council: investigation into anti-competitive practices,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Financial services,,22/11/02,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/general-insurance
Genzyme Ltd: alleged abuse of a dominant position,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter II,Pharmaceuticals,01/03/00,27/03/03,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/genzyme
Harwood Park Crematorium: refusal of access to JJ Burgess & Sons Ltd,Office of Fair Trading (OFT) closed Competition Act 1998 case.,No grounds for action/non-infringement,Distribution and Services Industries ,,12/08/04,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/harwood
Hasbro UK Ltd and distributors: price-fixing of Hasbro toys and games,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Retail and wholesale,,03/03/03,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/decisions/hasbro
Healthcare products supplies: market-sharing agreement,Office of Fair Trading (OFT) closed Competition Act 1998 case.,Infringement of Chapter I,Healthcare and medical equipment,01/03/03,20/03/14,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/competition-act-and-cartels/ca98/closure/healthcare-products/
